,UV1 (375)-A,UV2 (390)-A,UV3 (420)-A,UV4 (440)-A,UV5 (460)-A,UV6 (475)-A,UV7 (500)-A,UV8 (515)-A,UV9 (530)-A,UV10 (545)-A,UV11 (575)-A,UV12 (590)-A,UV13 (605)-A,UV14 (625)-A,UV15 (655)-A,UV16 (675)-A,UV17 (700)-A,UV18 (725)-A,UV19 (750)-A,UV20 (780)-A,UV21 (810)-A,UV22 (845)-A,V1 (420)-A,V2 (440)-A,V3 (460)-A,V4 (475)-A,V5 (500)-A,V6 (515)-A,V7 (530)-A,V8 (545)-A,V9 (575)-A,V10 (590)-A,V11 (605)-A,V12 (625)-A,V13 (655)-A,V14 (675)-A,V15 (700)-A,V16 (725)-A,V17 (750)-A,V18 (780)-A,V19 (810)-A,V20 (845)-A,B1 (500)-A,B2 (515)-A,B3 (530)-A,B4 (545)-A,B5 (575)-A,B6 (590)-A,B7 (605)-A,B8 (625)-A,B9 (655)-A,B10 (675)-A,B11 (700)-A,B12 (725)-A,B13 (750)-A,B14 (780)-A,B15 (810)-A,B16 (845)-A,YG1 (575)-A,YG2 (590)-A,YG3 (605)-A,YG4 (625)-A,YG5 (655)-A,YG6 (675)-A,YG7 (700)-A,YG8 (725)-A,YG9 (750)-A,YG10 (780)-A,YG11 (810)-A,YG12 (845)-A,R1 (655)-A,R2 (675)-A,R3 (700)-A,R4 (725)-A,R5 (750)-A,R6 (780)-A,R7 (810)-A,R8 (845)-A
Alexa Fluor 488,0.001118374,0.001292368,0.003865528,0.004149416,0.002591878,0.00140225,0.017500809,0.045857321,0.03361645,0.018213549,0.009269439,0.004718045,0.003102418,0.001212934,0.000938905,0.0005119,2.13E-05,-3.63E-06,-9.78E-05,0.000102283,-5.54E-05,3.41E-05,-0.000140136,-0.001053568,-0.001560389,-0.000994734,0.003420322,0.011317014,0.007931746,0.00408702,0.002170735,0.001021879,0.000728661,0.000178265,4.98E-05,-6.82E-05,-6.73E-05,-3.99E-05,-0.00018387,-0.000300954,-4.92E-05,7.02E-05,0.370540253,1,0.752579227,0.51261034,0.234254348,0.12251829,0.079313675,0.028111426,0.017751962,0.0099726,0.0068114,0.002764891,0.001502927,0.000710575,0.000393938,0.000314105,0.002164048,0.001529448,0.001562924,0.000873968,0.000878681,0.000536704,0.000477486,0.00022763,0.000155295,-6.75E-05,-1.46E-05,4.25E-05,0.000475403,0.000731788,0.000362626,0.000142446,0.000167572,0.000245522,1.08E-05,-5.12E-05
Alexa Fluor 647,0.000526353,0.000620667,0.003467736,0.004074358,0.003157098,0.001485591,0.001786934,0.001764442,0.001119733,0.000864479,0.000424938,0.00044476,0.000264943,0.00017293,0.002373829,0.00529152,0.003354565,0.001300232,0.000959513,0.000540556,0.00016611,2.51E-06,0.00032985,0.001642275,0.002301459,0.001529963,0.001817075,0.002469675,0.001705764,0.001288814,0.00123388,0.000854934,0.001156797,0.000166167,0.001443741,0.001972613,0.001536814,0.000714299,0.000415041,-5.45E-05,-5.79E-05,-0.000193752,0.000733676,0.001244164,0.00123027,0.001257346,0.001138218,0.000957462,0.001245327,7.08E-05,0.001783198,0.002660412,0.001589963,0.000739302,0.000883717,0.00020085,0.000376949,0.000273444,0.000112925,0.000126023,0.000108865,0.000224062,0.060168617,0.099431363,0.059849772,0.022804646,0.016994219,0.006645783,0.002496583,0.00113313,0.533489204,1,0.581672065,0.285296754,0.175102416,0.083273967,0.036021687,0.015165044
Alexa Fluor 700,0.001350973,0.001930981,0.007226139,0.008970949,0.006953617,0.003996653,0.003971932,0.003685952,0.002580926,0.001958916,0.00168014,0.001241931,0.001147557,0.000759895,0.000669842,0.002760106,0.02699955,0.042440791,0.023929232,0.013538066,0.006228273,0.00242633,0.00064464,0.002247029,0.003075978,0.002657083,0.003373167,0.003532117,0.002925098,0.002203887,0.001970188,0.001478932,0.001439763,0.000830974,0.000866607,0.002554629,0.027886678,0.044770151,0.028581626,0.01355635,0.006888694,0.002751026,0.001273462,0.002385499,0.002764781,0.00340434,0.003229037,0.00266878,0.002774119,0.001344802,0.001578751,0.001833449,0.00844489,0.013404035,0.008234376,0.004231455,0.002250646,0.001005495,0.001558553,0.001619606,0.002760144,0.001964698,0.002636319,0.009187207,0.097999309,0.131407811,0.079768944,0.039900945,0.01826615,0.006952593,0.003386544,0.044289462,0.602965694,1,0.573293694,0.28818772,0.146743176,0.054468523
AmCyan,0.00161398,0.003485686,0.002760232,-0.003551598,-0.00541934,0.005186348,0.016461086,0.011675312,0.004014912,-0.000510299,-0.003006719,-0.002814568,-0.001339328,-0.001693453,-0.002013077,-0.000821639,0.000270714,-6.97E-06,-0.000498065,-0.000696324,-0.000263705,-0.000568609,0.000317192,0.004325623,0.080858737,0.466204982,1,0.858726626,0.425601955,0.277082096,0.141817985,0.084779796,0.053858967,0.020861196,0.011513785,0.006249407,0.003077966,0.00123989,0.000281317,-0.000795957,-0.000304592,0.000431272,0.349553673,0.305963587,0.19091723,0.11331684,0.045849695,0.026491238,0.018550951,0.005431658,0.003520061,0.003186476,0.000308533,0.00089022,2.61E-06,0.00029723,-0.001401854,0.000521252,0.002522394,0.002835321,0.002366381,0.003419488,0.002268934,0.002656065,0.003440929,-2.02E-05,0.000357231,0.001148077,0.000214704,0.001138118,0.00418112,0.002595894,0.002916641,0.002341326,0.001939839,0.001930996,0.00069275,0.00116008
APC,0.000748069,0.001404429,0.00526774,0.006871121,0.006052524,0.003287497,0.00406825,0.003630802,0.003739075,0.002895645,0.001591324,0.001157927,0.000842554,0.0021457,0.050358176,0.040697937,0.020877838,0.012522726,0.007195725,0.003766284,0.001895413,0.00092309,0.000111488,0.001198745,0.002265789,0.001879448,0.002369594,0.002993604,0.002325846,0.000758756,0.002433555,0.001751599,0.001191406,0.001464985,0.038076183,0.028814338,0.015262574,0.010028083,0.007474039,0.002736921,0.000611832,0.000695572,0.000647657,0.000670448,0.000958943,0.00124981,0.000819051,0.001682056,0.000872957,0.000567184,0.007775088,0.005427781,0.002745071,0.001853988,0.000920143,-8.04E-05,-0.000937225,-0.000413516,-0.000273806,0.000770976,0.001834634,0.005539458,0.283400077,0.19354316,0.099390571,0.060308709,0.041054026,0.015752161,0.00755426,0.003357395,1,0.812720302,0.358165651,0.270394834,0.155388181,0.06787041,0.036179198,0.016336724
APC-R700,0.000571762,0.001041369,0.004776868,0.006340594,0.005286316,0.003155347,0.003262003,0.002997277,0.002273949,0.001694564,0.001391517,0.001053689,0.000968617,0.000592332,0.001914048,0.005456965,0.037364987,0.042165741,0.020826328,0.012176507,0.005213717,0.002005168,0.000703347,0.002344427,0.003245148,0.002659071,0.003311048,0.003421559,0.002695513,0.002054969,0.001840488,0.001464231,0.001216095,0.00071749,0.001598678,0.003837215,0.026125311,0.029342884,0.01686845,0.008397538,0.003761314,0.001563392,0.000814508,0.001469417,0.001572445,0.001669689,0.001521956,0.001212,0.001268477,0.00059707,0.001220208,0.002131973,0.012403132,0.01470725,0.007851353,0.004103766,0.001952344,0.000851112,0.000332348,0.000448424,0.000640829,0.000574125,0.007738385,0.024764721,0.203226002,0.199202869,0.108933856,0.056147997,0.022954963,0.00885843,0.028449179,0.105720663,0.818071235,1,0.523826931,0.270346686,0.125233739,0.045520448
APC-H7,0.002417938,0.004171921,0.019287693,0.024982987,0.020749563,0.01191084,0.012593952,0.011336748,0.008830337,0.00652969,0.005392275,0.003943865,0.003669741,0.00224148,0.002804472,0.002147525,0.001919229,0.001379274,0.009066657,0.042484986,0.027504264,0.009617604,0.002581024,0.008977536,0.011865032,0.009875931,0.012394825,0.012888776,0.009998877,0.007693052,0.00690995,0.005422437,0.004819454,0.002633514,0.003235661,0.002404842,0.002058755,0.001392213,0.008728202,0.038796642,0.026510508,0.009966255,0.002718441,0.004792697,0.005306326,0.005977275,0.005431402,0.004704441,0.004861628,0.002189738,0.002911763,0.002119798,0.002061614,0.001204523,0.002861124,0.009379532,0.006247863,0.002391583,0.001347022,0.001608013,0.001814263,0.001656931,0.005221872,0.003525823,0.003102838,0.002872182,0.037507466,0.17243564,0.103970381,0.036744505,0.014786505,0.012282525,0.008543451,0.013922678,0.200438483,1,0.695546841,0.231244369
APC-Cy7,0.001896807,0.003301578,0.014790365,0.018952587,0.015840644,0.009066358,0.009541274,0.008719986,0.006689139,0.004953034,0.004051829,0.003036331,0.00290313,0.001828669,0.00336589,0.002666095,0.002122359,0.001834619,0.013498622,0.04589561,0.022081417,0.007918714,0.001953025,0.006762396,0.008996869,0.007555496,0.009429197,0.009959795,0.007807773,0.00597729,0.005282928,0.004164373,0.003788011,0.002144026,0.003290414,0.002510979,0.002167687,0.001670699,0.012923477,0.039238753,0.020181347,0.007590784,0.002124861,0.003818892,0.004254637,0.004753991,0.004417844,0.003814986,0.003914319,0.00177529,0.002701791,0.002011724,0.001723259,0.001097258,0.003661895,0.009618345,0.005088195,0.002038504,0.001208457,0.001323693,0.001729629,0.001590462,0.011226919,0.007413935,0.005508879,0.005522929,0.059403927,0.186509677,0.08524898,0.030651471,0.039690086,0.035608911,0.021492881,0.029154838,0.291633497,1,0.544901458,0.185748973
APC-Fire 810,0.000285315,0.000795681,0.002757065,0.003801707,0.003414488,0.002231769,0.002042205,0.001896814,0.001337565,0.000691684,0.000803202,0.00034571,0.000322073,0.000357691,0.003944573,0.003672,0.003517823,0.001799265,0.001840849,0.018126963,0.036443453,0.016701924,0.000472448,0.000627039,0.000784277,0.000303463,5.33E-05,0.000193654,8.87E-05,-5.10E-05,5.30E-05,0.000121735,0.000111196,-0.00040412,0.002982055,0.002416024,0.002301596,0.00140231,0.001474279,0.019085891,0.042546137,0.02035576,0.000279106,0.000340276,0.000528404,0.00035397,0.000542431,0.000493027,0.000301257,0.000364106,0.000741488,0.000508704,0.000285877,0.000255007,0.000176048,0.00276989,0.007102247,0.003397067,0.000154863,0.000297224,0.000728794,0.001554364,0.025585028,0.0183883,0.017171936,0.008194896,0.010393885,0.068529883,0.139776576,0.066108199,0.114514524,0.100230069,0.082073585,0.052150466,0.055213691,0.426692104,1,0.43537249
BB515,-5.81E-05,-0.000565174,-0.001234627,-0.002430911,-0.003010231,-0.001789213,0.023892826,0.042740187,0.026101823,0.012996658,0.005403567,0.002790588,0.001603689,0.000324005,0.000108582,-0.000197359,-0.0001636,-0.000418616,-0.000113226,-5.18E-06,0.000206328,0.000115841,-0.000369019,-0.000154867,-4.79E-05,-0.000463282,0.004201873,0.008818406,0.004287894,0.002439296,0.000778311,0.000358667,-0.000138873,-0.000626656,-0.000637314,-0.000612577,-0.000283336,-0.000297012,-0.000518854,-0.000318377,3.63E-06,-0.000259969,0.545944331,1,0.60955542,0.348583262,0.147172982,0.076629879,0.054234259,0.017911005,0.010889744,0.005723522,0.003915787,0.001550157,0.000490547,0.000328026,6.00E-05,1.46E-05,0.000163058,-0.000226268,0.000173202,-0.000349072,6.70E-05,-0.000161888,-4.19E-05,-0.000153646,-0.000203642,-0.000136408,-0.000225039,-0.000128916,3.85E-05,7.48E-05,-0.000481169,-0.000176362,-6.76E-05,0.000282362,0.000211883,0.000133356
