,320CH1-A,320CH2-A,320CH3-A,320CH4-A,320CH5-A,320CH6-A,320CH7-A,320CH8-A,320CH9-A,320CH10-A,320CH11-A,320CH12-A,320CH13-A,320CH14-A,320CH15-A,320CH16-A,320CH17-A,320CH18-A,320CH19-A,320CH20-A,320CH21-A,320CH22-A,320CH23-A,320CH24-A,320CH25-A,320CH26-A,320CH27-A,320CH28-A,320CH29-A,320CH30-A,320CH31-A,320CH32-A,320CH33-A,320CH34-A,320CH35-A,355CH1-A,355CH2-A,355CH3-A,355CH4-A,355CH5-A,355CH6-A,355CH7-A,355CH8-A,355CH9-A,355CH10-A,355CH11-A,355CH12-A,355CH13-A,355CH14-A,355CH15-A,355CH16-A,355CH17-A,355CH18-A,355CH19-A,355CH20-A,355CH21-A,355CH22-A,355CH23-A,355CH24-A,355CH25-A,355CH26-A,355CH27-A,355CH28-A,355CH29-A,355CH30-A,355CH31-A,355CH32-A,355CH33-A,355CH34-A,355CH35-A,405CH1-A,405CH2-A,405CH3-A,405CH4-A,405CH5-A,405CH6-A,405CH7-A,405CH8-A,405CH9-A,405CH10-A,405CH11-A,405CH12-A,405CH13-A,405CH14-A,405CH15-A,405CH16-A,405CH17-A,405CH18-A,405CH19-A,405CH20-A,405CH21-A,405CH22-A,405CH23-A,405CH24-A,405CH25-A,405CH26-A,405CH27-A,405CH28-A,405CH29-A,405CH30-A,405CH31-A,405CH32-A,405CH33-A,405CH34-A,405CH35-A,488CH4-A,488CH5-A,488CH6-A,488CH7-A,488CH8-A,488CH9-A,488CH10-A,488CH11-A,488CH12-A,488CH13-A,488CH14-A,488CH15-A,488CH16-A,488CH17-A,488CH18-A,488CH19-A,488CH20-A,488CH21-A,488CH22-A,488CH23-A,488CH24-A,488CH25-A,488CH26-A,488CH27-A,488CH28-A,488CH29-A,488CH30-A,488CH31-A,488CH32-A,488CH33-A,488CH34-A,488CH35-A,561CH10-A,561CH11-A,561CH12-A,561CH13-A,561CH14-A,561CH15-A,561CH16-A,561CH17-A,561CH18-A,561CH19-A,561CH20-A,561CH21-A,561CH22-A,561CH23-A,561CH24-A,561CH25-A,561CH26-A,561CH27-A,561CH28-A,561CH29-A,561CH30-A,561CH31-A,561CH32-A,561CH33-A,561CH34-A,561CH35-A,637CH17-A,637CH18-A,637CH19-A,637CH20-A,637CH21-A,637CH22-A,637CH23-A,637CH24-A,637CH25-A,637CH26-A,637CH27-A,637CH28-A,637CH29-A,637CH30-A,637CH31-A,637CH32-A,637CH33-A,637CH34-A,637CH35-A
Alexa Fluor 488,0.001028305,0.000332073,0.000150876,0.005775821,0.009612308,0.011613343,0.008833787,0.004685991,0.00048622,0.000885678,0.001460243,0.001227012,0.000622077,0.000485127,0.000163325,0.00022199,0.000125006,0.000207503,0.000252369,0.000226227,0.000299777,0.000164484,0.000139445,0.000181173,0.000179922,0.000301156,0.000264999,0.000481535,0.000171545,0.00025609,0.000188363,0.000343901,0.000150237,0.00032178,9.01E-05,0.000388083,0.000248024,0.00023806,0.00466042,0.008768596,0.011279764,0.008861353,0.004083096,0.000813396,0.001031264,0.001410806,0.00097632,0.000567124,0.000401577,0.00012532,0.000122674,0.000121564,0.000118929,0.000284978,0.000214892,0.000107126,7.69E-05,2.43E-05,0.00039347,0.000169895,0.000386862,0.000344255,0.000217672,-3.05E-05,0.000102907,0.000104872,0.000186789,0.000138542,6.21E-05,8.34E-06,0.000211708,5.84E-05,5.95E-05,0.014038013,0.023866237,0.028699597,0.020690235,0.012454978,0.001544517,0.001911514,0.004594338,0.002834623,0.002014958,0.001043099,0.000639539,0.00030587,0.000507381,0.000231725,0.00057195,6.87E-05,0.000105619,-0.000306478,6.03E-05,0.000319741,0.000319279,0.000559681,0.000720504,0.00028854,-0.000222689,0.000275571,0.000319507,-0.00024382,0.000254993,-0.000227443,7.45E-05,0.530230516,0.787690387,1,0.846768018,0.494504186,0.099992089,0.050284771,0.134757352,0.094322118,0.056293552,0.036441369,0.015047341,0.001286907,0.005574405,0.00712199,0.00518739,0.003830267,0.002607037,0.001625295,0.001743094,0.004921434,0.011059394,0.012719675,0.0130041,0.007959985,0.003616408,0.001659322,0.00102129,0.001120984,0.000879127,0.000519393,0.000421392,0.000273693,0.000147634,6.17E-05,6.45E-05,-3.69E-05,9.24E-05,-0.000138061,0.000185536,-5.45E-05,0.000117353,-3.58E-05,-0.00013318,0.000114729,7.00E-05,-0.000117742,9.18E-05,-3.89E-05,-0.000105602,-9.73E-05,0.000112739,2.82E-05,3.68E-05,-4.11E-05,1.87E-05,-3.92E-05,2.17E-05,0.000202682,0.00013521,7.60E-05,9.66E-05,-1.42E-05,-8.00E-05,0.000100744,9.06E-05,0.000111264,-6.24E-05,6.50E-05,2.28E-05,1.60E-05,0.000134104,-2.66E-05,0.00031396,0.000142517,1.54E-05,-3.47E-05
Alexa Fluor 647,0.001133575,-0.000316498,0.000177499,0.000817578,-0.000770163,0.000105055,-8.42E-05,0.000178706,-0.000270322,7.81E-05,0.000142986,0.000513679,0.000539178,7.75E-05,0.000145223,0.000168927,0.001894425,0.004219382,0.005136741,0.004788524,0.003382072,0.002437943,0.001849977,0.002018404,0.001937828,0.000959591,0.000994954,0.000383177,0.000852186,0.000920624,0.000650977,0.000568146,0.000654258,0.000457622,0.000335703,-0.000248054,4.25E-05,0.000263028,0.000605724,0.000570438,0.000402618,0.000949128,0.000298768,0.000420899,0.000303118,-6.57E-05,2.06E-05,4.96E-06,0.00026904,0.000445314,0.000878257,0.002153579,0.004518255,0.00671795,0.003823981,0.002495964,0.002425522,0.001631684,0.00173875,0.001030508,0.000822352,0.001079881,0.000869489,0.001007844,0.000584791,0.000548382,0.001019863,0.000688504,0.000718065,0.000325026,-0.000755575,-0.000657612,0.000182154,0.00358535,0.00135853,0.000269276,0.000395057,0.00085199,-0.000104678,-0.000630146,-0.00054431,7.35E-05,-0.000664335,-0.000478029,-0.001494992,0.000247484,0.002055133,0.009902738,0.008424337,0.00798329,0.005797438,0.006319991,0.002943114,0.003892753,0.002622501,0.002694785,0.001151873,0.001250175,0.001089521,0.000369328,0.001308401,0.000271527,-0.000981212,-0.000616806,-0.000231135,-0.002077375,4.40E-05,-5.25E-05,-0.000490544,-5.75E-05,-2.93E-05,0.000170681,-0.001823088,0.000589301,-0.000682779,-0.000147065,-0.000286942,7.08E-05,0.001437249,0.005671486,0.007263138,0.007726891,0.004300487,0.002775214,0.00200763,0.001481602,0.001536923,0.001372632,0.000705131,0.000631743,0.000446545,6.58E-05,-4.36E-05,2.07E-05,-7.46E-05,7.06E-05,0.000328638,0.002013353,0.000319365,-0.000137694,0.000580588,0.0014038,0.001217631,0.010021782,0.096973759,0.235123244,0.264398714,0.20750528,0.145145332,0.094767739,0.076539775,0.060276961,0.056323365,0.042241683,0.032128707,0.023320777,0.015479248,0.011129577,0.008465005,0.00647531,0.004877907,0.004315619,0.002236937,0.46680244,0.792847118,1,0.812331685,0.509794667,0.336514645,0.273898811,0.232338167,0.205193512,0.158578489,0.117627241,0.078422624,0.05650895,0.039325118,0.033880649,0.026765312,0.021868081,0.017195111,0.03008712
Alexa Fluor 700,-0.002231784,0.000554547,0.000777406,0.004311673,0.002859147,0.000816912,0.002589727,0.001106284,0.000243366,0.000555452,0.002378198,0.002267712,0.002669383,0.000566856,0.000154658,0.000143441,0.001024914,0.00071027,0.00210672,0.010439159,0.026962423,0.061609288,0.085357182,0.082574458,0.056372403,0.030923763,0.018873857,0.013635653,0.007566477,0.001524939,0.001009078,0.000503908,0.000241516,0.000176716,8.49E-05,-0.003065514,-0.000606312,0.000193473,0.001236526,0.000672854,0.000678108,0.000602725,0.000283602,-4.07E-05,-2.95E-06,0.000468751,0.000299539,0.000281723,0.000265386,3.65E-05,6.76E-05,0.000121337,0.000540825,0.001373804,0.004682397,0.012448138,0.028515096,0.042219008,0.045152112,0.03382265,0.022203399,0.01435377,0.011146219,0.008331646,0.00698649,0.005933469,0.004936499,0.003000277,0.001810206,0.000906306,-0.002644812,-0.001776382,-0.000411622,0.003300714,0.002476728,0.004467105,0.003337204,0.001395745,0.000307994,0.000108796,0.002011022,0.001090948,0.001810514,0.001584167,0.000911042,0.000438251,0.001533623,0.003327455,0.010736984,0.038150611,0.114861088,0.229904389,0.331761703,0.311730634,0.220218371,0.144370061,0.09130942,0.066595568,0.054394603,0.044396667,0.036376944,0.029386061,0.019006436,0.010411813,0.005801444,0.000696933,0.001286695,0.001249696,0.001280179,0.000815412,0.000171272,0.000229647,0.001132964,0.000564984,0.000510582,0.000822265,0.00036297,1.27E-05,0.000313089,0.000374478,0.001117987,0.003671351,0.010280698,0.021210141,0.029156132,0.029975969,0.022950304,0.014556683,0.009289873,0.006522415,0.005184823,0.002780316,0.002852747,0.001944231,0.001059848,0.000482032,0.000348779,0.00150915,0.001559628,0.004169152,0.008461033,0.009686628,0.003630577,0.00012947,0.002898245,0.006723184,0.015808223,0.051255207,0.147042356,0.290867395,0.434719378,0.40226257,0.31346596,0.200492719,0.129945256,0.095995096,0.079874829,0.060836597,0.049073258,0.037325491,0.026508658,0.016350009,0.008910452,0.004495813,0.007787831,0.029564774,0.102482136,0.308468613,0.631035819,1,0.986978652,0.784518708,0.50187156,0.343566567,0.246484925,0.199533094,0.171664659,0.150568706,0.123748237,0.088772551,0.058241172,0.044761425
APC,-0.00112849,-0.000234779,0.000136542,0.000710897,5.77E-05,-3.96E-05,-5.03E-05,-3.33E-05,-1.11E-06,0.000150638,-0.000115522,-9.86E-05,0.00032791,0.000803959,0.000491028,0.003307691,0.035113684,0.057208963,0.035359265,0.021320496,0.013238373,0.010693088,0.010176539,0.009940223,0.00732825,0.004577482,0.002942221,0.001805739,0.000457407,0.000129531,4.96E-05,6.39E-05,3.12E-05,8.57E-06,1.63E-05,-0.000633243,-0.000188093,-8.52E-05,-0.000137199,3.77E-05,-5.60E-05,-1.08E-05,-2.69E-05,-1.42E-05,1.11E-05,-2.24E-05,-3.15E-06,0.000161101,0.000564977,0.000589286,0.002601282,0.030738787,0.050518682,0.039631463,0.021119629,0.011973385,0.009829379,0.009254986,0.009657352,0.008519183,0.006364512,0.003830962,0.002687329,0.001850636,0.001485713,0.001276417,0.001035812,0.000706074,0.000535007,0.00031457,-0.000706646,-0.000752584,-0.000353344,-0.000411135,-9.98E-05,2.61E-05,3.85E-05,0.00015588,6.48E-05,0.000269082,0.000442391,0.000601039,0.000888376,0.004267528,0.003255338,0.017697827,0.17210453,0.253101464,0.162686983,0.084534949,0.05576903,0.044354499,0.043896861,0.042015534,0.034538647,0.023929131,0.014284025,0.009659443,0.007067934,0.005530971,0.00438059,0.003828225,0.002952546,0.001938403,0.001019409,-0.000111194,-8.12E-05,-6.61E-05,-3.38E-05,-1.62E-05,2.00E-05,1.88E-05,-3.83E-05,0.000144497,0.000117641,0.000330846,0.000292397,0.000763855,0.010938632,0.018513253,0.013409178,0.007473785,0.004468046,0.003378251,0.003028165,0.003090727,0.002710884,0.001881118,0.001102916,0.000637808,0.000419784,0.000161171,0.000179522,0.000143435,9.17E-05,6.94E-05,4.04E-05,0.001085044,0.000688152,0.000943765,0.003389303,0.011658509,0.011209454,0.03724472,0.376455138,0.710982389,0.477707578,0.258088548,0.168931923,0.12845435,0.13064887,0.120304089,0.109454801,0.077662257,0.048516916,0.032366613,0.024105672,0.017450252,0.014156707,0.011637473,0.010035513,0.006892777,0.005538845,0.789401096,1,0.735276846,0.358938309,0.226015878,0.17300266,0.179028754,0.17561942,0.163191432,0.115752474,0.07694278,0.049619358,0.036342034,0.029413957,0.025618418,0.023005092,0.01836785,0.013919777,0.011554882
APC-R700,-0.000311029,0.000318402,0.000189387,0.000413854,0.000159336,0.001042559,0.001108066,0.000516372,1.31E-05,0.000319455,0.000205716,0.00032311,0.000580569,0.000350268,-9.49E-05,0.000109914,5.59E-05,0.00077849,0.001094072,0.002685012,0.006204243,0.009687177,0.010897335,0.011166143,0.007324399,0.00488475,0.003068557,0.002623798,0.001733566,0.001235285,0.000615472,0.00076557,0.000424171,0.000421094,0.000154576,0.001009958,0.000702969,0.000577524,0.002509634,0.002678539,0.002430632,0.002796518,0.001433727,0.000267882,0.000503318,0.001135881,0.00107251,0.000939821,0.000588894,0.000578888,-1.93E-05,0.001723758,0.003127051,0.005844835,0.013061731,0.026356172,0.044793604,0.049456825,0.045621982,0.034222609,0.021849776,0.015079481,0.013253874,0.009423959,0.00882887,0.007464469,0.005156305,0.004057316,0.002948364,0.001773798,0.00266618,0.004282663,0.003984749,0.01854062,0.01937833,0.02049054,0.019910414,0.014294996,0.001614251,0.00297744,0.006236245,0.00522651,0.004801237,0.003032676,0.001595403,0.001443502,0.008852684,0.015898054,0.026090736,0.054642957,0.123712636,0.195857526,0.235813453,0.197217441,0.130379021,0.086096095,0.05947981,0.043991259,0.036569311,0.028399673,0.02581899,0.021292268,0.012294924,0.009455368,0.006045542,0.006209365,0.006520202,0.006861788,0.007312151,0.006386829,0.001344543,0.000953028,0.003316172,0.003872733,0.002320453,0.001988428,0.000643101,0.00034903,0.001334936,0.003415377,0.004776289,0.011520169,0.024556076,0.038402111,0.042154954,0.038612081,0.028271849,0.020111598,0.013558624,0.010250953,0.008318512,0.006590308,0.005076393,0.003864937,0.003061095,0.002103646,0.001424887,0.000669693,0.001299749,0.000985114,0.001722642,0.002315228,0.001453621,0.002147613,0.019917038,0.039739793,0.070310546,0.172252051,0.393342353,0.615648666,0.711336315,0.577263592,0.436573803,0.296400293,0.205437099,0.164528882,0.127054184,0.094399904,0.072848059,0.054955461,0.039850366,0.025769291,0.018909716,0.033592246,0.05053468,0.092240509,0.234024075,0.50299397,0.822417986,1,0.852766307,0.640911904,0.422024512,0.304462093,0.220377634,0.17421348,0.142498159,0.113092122,0.090302715,0.066101552,0.045739056,0.040422296
APC-H7,0.002631487,0.003305041,0.00332412,0.006878503,0.00900158,0.004992849,0.005515376,0.004534355,0.000704076,-0.000860783,0.002182332,0.001247562,0.000138799,0.001773112,-0.000932063,-0.000610346,-0.000532872,-0.001157204,-0.000622208,-0.000361159,-0.003629366,-0.001564947,-0.00256465,7.87E-05,-0.002008707,0.000850451,0.002178999,0.006585307,0.008518036,0.012678202,0.01046315,0.00862913,0.007805133,0.003655256,0.001969144,0.003360228,0.005357585,0.006221007,0.01509265,0.024717808,0.024991797,0.021956588,0.01619199,0.004828167,0.003033309,0.009618025,0.009714266,0.008507797,0.004856145,0.003435393,0.002168069,0.006190724,0.0053696,0.005353651,0.003083094,0.003394702,0.002310998,0.004148653,0.003895732,0.006564781,0.009573746,0.024823922,0.045167544,0.064975487,0.071323034,0.068840511,0.053092606,0.037010177,0.024980696,0.018414981,0.013771228,0.027066166,0.023470564,0.104011773,0.087218465,0.099541471,0.116936367,0.072378516,0.009293728,0.01713988,0.031440829,0.033539656,0.02268719,0.027750437,0.00376118,-0.000543836,0.012420584,0.015251081,0.007340575,0.010299445,0.00555473,0.00508123,0.005912995,0.00533016,0.012230076,0.038535453,0.083544569,0.178025839,0.230999582,0.281094775,0.266721139,0.223604683,0.162890117,0.108802119,0.068333975,0.024661486,0.033075387,0.031865285,0.03346179,0.030203479,0.006732506,0.006604331,0.020193823,0.011028691,0.012214611,0.007476314,0.005298856,0.000664782,0.00317419,0.002902635,0.004347718,0.002927896,0.004127761,0.00098021,0.002102381,0.001344005,0.000116993,0.004279255,0.006241863,0.013609905,0.022880661,0.026500937,0.021270628,0.019149849,0.01476189,0.010371671,0.007139819,0.00412509,0.007046516,0.00637881,0.005478731,0.008808672,0.004479004,0.001252824,0.014178467,0.019600465,0.011606301,0.009494075,0.011215614,0.005708393,0.008678572,0.010746006,0.029499612,0.085032597,0.20950628,0.417804861,0.576532975,0.619187623,0.536396268,0.422845053,0.288215496,0.181502601,0.124387501,0.024654155,0.02893915,0.021883281,0.013289516,0.009421793,0.009172229,0.011483515,0.016979629,0.052293193,0.129336097,0.330026421,0.62246348,0.858463166,1,0.961377148,0.794070098,0.583150685,0.40063287,0.3217237
APC-Cy7,0.00087366,0.00352154,0.002188179,0.003553701,0.007494405,0.006966051,0.007235826,0.003361504,0.000842489,0.001492937,0.002047132,0.00180346,0.002588815,0.001710246,0.001120177,-0.000649456,-0.00117286,0.001864435,0.000972652,0.000129944,-2.95E-05,8.92E-05,-0.00046735,-0.000347738,9.23E-05,0.002957656,0.004675333,0.008307763,0.009870619,0.012293991,0.006146836,0.007603723,0.003974523,0.002631071,0.00250135,0.001874986,0.003981527,0.003329435,0.010710108,0.016394986,0.018882251,0.01697178,0.010897429,0.001742823,0.002607116,0.006397333,0.006350602,0.003989368,0.002886392,0.001438662,0.000614805,0.004868146,0.007065378,0.006083406,0.001992079,0.003709859,0.002124686,0.002286167,0.003144085,0.005658546,0.01481533,0.031856638,0.056169031,0.062138028,0.072367083,0.058042502,0.046944569,0.027971961,0.015912825,0.013275087,0.007909464,0.01410439,0.015746004,0.04730474,0.069433277,0.060574374,0.058201769,0.042349654,0.005158504,0.012614409,0.018617702,0.018627572,0.013272437,0.017651895,0.003030662,0.003559126,0.018978186,0.033881926,0.021952442,0.013461261,0.016602613,0.014522527,0.007956435,0.02040729,0.030166762,0.074263734,0.139529106,0.206172373,0.263407464,0.27675277,0.229850178,0.184584905,0.110655298,0.080623702,0.042251223,0.0104217,0.016540264,0.016633746,0.019693655,0.016601741,0.004023319,0.002744004,0.009854068,0.011980253,0.005615897,0.004575222,0.002207034,-0.000505433,0.00298009,0.004713673,0.004306702,0.002195504,0.001823046,9.15E-05,0.00069171,0.001819866,0.002279294,0.004655099,0.012130407,0.01782933,0.023880228,0.023864884,0.021774123,0.014389933,0.008763448,0.009581011,0.005941306,0.003418229,-0.000238044,0.007416058,0.000651401,0.010473202,0.003937128,0.00519966,0.046620014,0.076000235,0.04378697,0.025766454,0.022392819,0.016274119,0.020818329,0.032614013,0.075898973,0.16775438,0.329446244,0.548308833,0.667985093,0.602197661,0.465719868,0.326797731,0.217466934,0.139512668,0.097045887,0.067025413,0.090394969,0.067812009,0.037497032,0.027784074,0.023501939,0.029325394,0.043557652,0.10512889,0.252187168,0.510038942,0.803308768,0.976215159,1,0.829590306,0.623204535,0.421882681,0.288963585,0.255229365
APC-Fire 810,-0.004197738,0.000528026,0.000206903,-0.001793442,-0.000414916,0.003000839,0.000761626,0.001304345,0.00030602,0.000421275,0.000359129,0.000187922,0.001305893,0.000414789,0.001086933,0.000536655,0.006796753,0.009868523,0.006361888,0.004691911,0.004219994,0.003134592,0.0034681,0.001945675,0.000525913,0.001675602,0.002426958,0.003757262,0.009478513,0.017984213,0.026775706,0.036750224,0.023935162,0.004855613,0.002005398,-0.004137855,-0.000864437,4.83E-05,0.000308224,0.000885966,0.000957129,0.00026608,0.000599106,0.000112364,0.000244993,0.000552377,0.000278895,0.000426237,0.000598075,0.000484934,0.000440983,0.005521737,0.008175552,0.006458815,0.004175565,0.003054179,0.002778318,0.002512027,0.002317329,0.001828183,0.001512316,0.002263285,0.005000742,0.01156937,0.025466313,0.041642644,0.054199253,0.045374199,0.035731864,0.019983623,-0.003087513,-0.003508688,-0.00178474,0.002647487,0.00184191,0.001477476,0.001713853,0.002271847,-0.000135055,0.000901984,0.000183507,7.74E-05,0.001950996,0.004248184,0.001508017,0.003153803,0.031758905,0.043100786,0.027939169,0.018024808,0.014916061,0.012714007,0.01126189,0.009414438,0.008930413,0.009404284,0.012465004,0.031843354,0.074923297,0.144052327,0.217263599,0.268516752,0.236311019,0.168550823,0.088684928,-0.000365158,0.000148513,0.000374758,0.000842595,0.000463943,0.000158634,8.73E-05,0.000677344,0.00164738,0.001189921,0.001351233,0.000625027,0.00025111,0.002591413,0.003776812,0.002703954,0.001875899,0.0013258,0.001171515,0.000769483,0.000789157,0.000584565,0.000561328,0.000646741,0.001619288,0.004328276,0.006785728,0.01542406,0.01759166,0.017482893,0.012451044,0.006856369,0.001112974,0.002236404,0.006288128,0.011964547,0.022409058,0.01464575,0.008370621,0.088321826,0.148825895,0.100535061,0.063597591,0.051009654,0.043434966,0.039270428,0.031014062,0.028130398,0.023888656,0.029711596,0.064226837,0.146872162,0.26435174,0.396850265,0.473419055,0.449814975,0.317045133,0.223709376,0.154451097,0.191831168,0.139826229,0.080047194,0.066415656,0.056055247,0.05165334,0.045565911,0.041294593,0.036476782,0.049988152,0.100529353,0.229984027,0.465594391,0.76511425,1,0.880563434,0.65548243,0.47736025
BB515,-9.70E-06,2.76E-05,9.33E-06,0.007967423,0.011745582,0.01051428,0.00724188,0.003723182,0.000524741,0.000573332,0.001190271,0.000781823,0.000460782,0.00027991,8.78E-05,-4.17E-05,4.23E-05,4.08E-05,3.24E-05,4.93E-05,1.85E-05,-4.55E-05,-6.63E-06,4.30E-05,0.000148659,0.000148949,0.000114693,3.39E-05,4.94E-05,2.36E-05,-1.64E-05,-4.83E-05,-5.34E-05,-3.57E-05,-2.69E-05,7.40E-05,1.52E-05,3.81E-05,0.009115249,0.0151942,0.015446632,0.010056589,0.005129132,0.000652143,0.000827061,0.001404042,0.000918315,0.000605059,0.000344089,7.52E-05,5.51E-06,4.83E-05,6.73E-05,3.06E-05,-3.87E-06,1.38E-05,-1.10E-05,5.23E-05,0.000157307,0.000278424,0.000342285,0.000286972,0.000115294,9.71E-05,1.82E-05,1.04E-05,-1.00E-05,2.49E-05,3.49E-05,5.56E-05,2.68E-05,-1.67E-05,0.00010178,0.019819014,0.024121563,0.025080169,0.015572244,0.008535905,0.001194558,0.001280831,0.002120969,0.00140856,0.000872252,0.000816388,0.000272925,6.78E-05,5.36E-05,1.56E-05,-8.20E-05,9.75E-05,7.91E-06,-7.09E-05,1.21E-05,0.000144307,0.000334699,0.00051813,0.000387947,0.000244765,0.000150337,0.000109919,-6.93E-06,3.57E-05,9.48E-05,-4.72E-05,-5.69E-05,0.794128811,1,0.982757,0.723240175,0.417634609,0.086330478,0.040261363,0.105440198,0.073466649,0.044451203,0.029188598,0.011830515,0.000902795,0.004226381,0.005121637,0.003771161,0.002983474,0.002021094,0.001270837,0.002039538,0.00625049,0.013003808,0.013169412,0.011981944,0.007168,0.003268971,0.001453414,0.00086217,0.00105954,0.000783945,0.000565822,0.000370125,8.73E-05,0.000106416,5.60E-05,4.07E-05,-2.76E-06,4.03E-05,-5.35E-06,1.49E-05,-3.14E-05,-1.05E-06,6.80E-05,-4.06E-05,-1.75E-05,1.35E-05,-4.45E-05,-1.85E-06,4.37E-05,1.51E-05,1.98E-05,3.01E-05,-2.42E-05,-1.06E-05,2.60E-05,-2.02E-06,3.54E-05,1.85E-05,1.09E-05,-1.61E-05,-3.20E-05,-2.31E-05,-2.44E-05,-2.60E-05,-1.78E-05,-3.49E-05,-1.90E-05,-5.78E-06,-2.14E-05,-2.34E-05,-3.86E-05,-1.01E-05,4.14E-05,2.55E-05,-2.35E-05,2.29E-05,1.68E-05
BB700,-0.000309501,0.000302273,-1.57E-06,-0.000319656,0.000795182,0.000517144,0.001734802,0.001671555,0.000283234,0.001085001,0.003659311,0.003264953,0.003232704,0.002352819,0.000946562,-0.00039268,0.002239225,0.0082827,0.022963554,0.044642195,0.050383406,0.045238681,0.032109919,0.022344818,0.018060752,0.013424544,0.012984803,0.008870438,0.008269482,0.005352837,0.003924308,0.003003221,0.002035142,0.001212114,0.000910657,-0.000221766,-0.000137184,9.21E-06,0.000154258,0.000915502,0.001600606,0.002984503,0.002370091,0.000729893,0.001566047,0.0032728,0.003498496,0.002908287,0.002407819,0.001495179,0.000378205,0.004283747,0.01242659,0.038402689,0.066838753,0.07284873,0.063996158,0.045495938,0.03421261,0.027030296,0.021789752,0.01879248,0.017001282,0.013069157,0.010360081,0.007880996,0.005812813,0.003344752,0.002651885,0.00193778,-0.000482044,-0.000583358,-0.000108832,0.001948732,0.006284254,0.023396245,0.034225602,0.038106592,0.006193065,0.025887878,0.051246673,0.058372111,0.053755479,0.061556194,0.025761092,0.006421627,0.063111173,0.182282479,0.443994582,0.760547229,0.91114021,0.762165647,0.555577015,0.390692632,0.267175311,0.231475742,0.203987925,0.159848122,0.130664294,0.105761037,0.073900279,0.057683184,0.040792643,0.034392836,0.024327937,0.003259011,0.010007374,0.021666687,0.038998401,0.046049146,0.012669896,0.019103235,0.068782984,0.074933561,0.066199612,0.060532944,0.031301956,0.004213476,0.046516014,0.145768648,0.402216755,0.816586199,1,0.781919984,0.528662384,0.369754124,0.283107888,0.241039913,0.204175502,0.172015345,0.146692302,0.106970099,0.076730068,0.057758217,0.043322796,0.035198706,0.027333723,-0.000563727,5.12E-05,0.00045338,1.30E-06,-0.000176324,-0.000125755,0.000217812,0.005124638,0.022994952,0.060537686,0.108709515,0.126909914,0.10584711,0.076718411,0.051414905,0.043364399,0.034830964,0.031641984,0.028935819,0.019966448,0.016256039,0.010807029,0.007412876,0.005322604,0.00331789,0.002857855,0.025002308,0.058866567,0.166137039,0.32398297,0.390667037,0.331767175,0.247196262,0.166147705,0.130953442,0.107915078,0.098632941,0.079007376,0.061040415,0.048008918,0.036268626,0.026152058,0.019510329,0.014351385,0.025010723
