,FL07-A,FL08-A,FL10-A,FL09-A,FL11-A,FL06-A,FL05-A,FL04-A,FL03-A,FL00-A,FL01-A,FL02-A,FL16-A,FL15-A,FL17-A,FL18-A,FL13-A,FL14-A,FL12-A,FL23-A,FL22-A,FL21-A,FL19-A,FL20-A,FL37-A,FL36-A,FL38-A,FL39-A,FL42-A,FL41-A,FL40-A,FL31-A,FL32-A,FL34-A,FL33-A,FL35-A,FL24-A,FL26-A,FL25-A,FL28-A,FL27-A,FL30-A,FL29-A,FL46-A,FL47-A,FL43-A,FL45-A,FL44-A,FL48-A,FL49-A,FL50-A
Alexa Fluor 350,0.040895866,0.621332651,0.844226301,1,0.906125068,0.415451205,0.091714085,0.032429625,0.013250895,0.00493853,0.000867121,8.12E-05,0.047324777,0.048915025,0.044276239,0.02503748,0.011851611,0.002681034,0.00095186,0.000105163,6.24E-07,3.00E-05,-4.14E-06,-8.16E-06,4.46E-05,4.32E-05,6.21E-05,1.47E-05,9.03E-07,4.53E-06,3.30E-06,8.92E-05,9.07E-05,4.84E-05,3.15E-05,4.23E-05,-4.00E-05,-0.000116275,4.67E-06,4.58E-05,-4.50E-05,5.31E-06,5.87E-06,1.05E-05,-9.62E-06,-1.43E-05,4.26E-06,-5.99E-05,2.14E-05,-2.68E-06,-8.62E-07
Alexa Fluor 488,0.001036836,0.000866362,0.000610274,0.000914817,0.001228647,0.02075694,0.019659247,0.006335016,0.001798858,0.000283053,8.37E-05,-3.90E-05,0.000145291,0.000178504,0.000132744,0.000526139,0.007017857,0.005228047,0.00122489,0.000264571,-1.43E-05,-2.74E-05,3.59E-05,-2.25E-05,1,0.448467539,0.080474687,0.042098383,0.006437019,0.000871102,0.000148398,3.67E-05,6.49E-05,4.47E-06,3.44E-06,6.05E-05,4.67E-06,0.00025718,8.49E-05,0.000234055,0.000172858,-7.54E-05,7.08E-05,-7.66E-05,3.15E-05,4.17E-06,4.72E-05,0.000494709,8.62E-05,-0.000102312,-0.000135816
Alexa Fluor 594,-0.022575199,-0.023576643,-0.01355617,-0.025411566,-0.048312358,-0.054246251,-0.032257137,-0.015116471,0.177292028,0.134085075,0.040090935,0.000815096,-0.008493354,-0.005895117,-0.004594605,-0.008555785,-0.016098536,-0.015245349,-0.002977333,0.230194772,0.118252961,0.050138381,0.010564365,0.004350647,-0.000100806,0.000415015,0.002347986,0.016010476,0.009157658,0.002430147,0.000573759,0.011023987,0.149533612,0.820341558,1,0.84311568,0.312911449,0.30522253,0.140295763,0.190110043,0.016623489,0.006124532,2.67E-05,0.029743951,0.005224825,0.004658666,0.002941797,0.002511479,-6.14E-05,-4.51E-05,-0.000123856
Alexa Fluor 647,0.001279467,0.001192996,0.000534026,0.000973189,0.001302122,0.001460137,0.000778793,0.000208815,0.00035834,0.019042835,0.007042265,0.000975746,-9.42E-05,-6.73E-05,0.000159443,7.63E-05,0.000509733,0.000432235,9.47E-05,9.79E-05,0.000714724,0.001301705,7.85E-05,-1.05E-05,0.00039341,0.000202016,-6.22E-05,-1.76E-05,0.002915097,0.000738478,7.41E-05,-3.31E-05,8.35E-07,4.72E-05,-4.41E-07,0.113375796,0.052967905,0.04882654,0.024708124,0.047321532,0.003457392,0.00095043,-4.61E-05,1,0.280124506,0.285265687,0.253758194,0.112653638,1.90E-05,-4.68E-06,7.55E-05
Alexa Fluor 700,0.003940672,0.002490132,0.001886211,0.00224919,0.006656206,0.004962505,0.00386568,0.001270898,0.000656716,0.011084942,0.306095214,0.041257288,0.000596294,0.000510594,0.001500637,0.001913091,0.004513615,0.002742348,0.001046477,0.000994716,0.000447265,0.120752688,0.060946178,0.03311417,0.005910999,0.002665382,0.001085732,0.001155161,0.000381832,0.029584614,0.005678319,-9.74E-05,0.000294856,0.000327021,0.000565259,0.006353617,0.020524686,0.10896613,0.151927223,0.228278364,0.032394031,0.006557123,0.000706234,0.020828739,0.318164049,1,0.716757936,0.3933527,0.00112867,0.000766565,0.000261628
APC,0.001019936,0.0009519,0.000470447,0.000738309,0.000957876,0.001485852,0.001021836,0.000157584,0.002617025,0.205063728,0.072973953,0.007594374,-0.000167001,6.38E-05,-4.49E-05,0.000647255,0.000388576,0.000660988,0.00034718,0.001159517,0.07718052,0.025768821,0.010766922,0.005710429,0.000422011,0.000736163,0.000275669,0.000332302,0.014311997,0.003401947,0.000790817,-2.58E-05,6.79E-05,0.0011205,0.006188034,0.423708772,0.076143652,0.074735518,0.056988991,0.108309812,0.014226893,0.005120965,1.46E-05,1,0.125771289,0.18637364,0.164813966,0.085606755,2.97E-05,-5.50E-05,0.000283186
APC-Cy7,0.000182173,-0.000108154,-0.00010751,0.000488308,0.001934304,0.003527568,0.00394782,0.002367869,0.002587657,0.003038366,0.006041384,0.107539721,0.000163595,0.00015794,0.000996805,0.001067862,0.003466993,0.002313941,0.000793461,-5.36E-05,0.000315347,0.000771071,0.006690214,0.091506311,0.004140947,0.003314583,-9.63E-05,0.00049523,0.000372277,0.00020487,0.006957845,9.47E-05,5.98E-06,8.07E-05,7.55E-05,0.005002442,0.000762706,0.001708545,0.000452166,0.091291487,0.120752497,0.027581439,0.000539121,0.025538897,0.001050139,0.005727385,0.243824738,1,0.881374266,0.282884545,0.059168639
APC-H7,-8.04E-05,0.000138645,-0.000132926,2.62E-05,0.00041303,0.000527864,0.001834592,0.000448843,0.000509204,0.00106172,0.00136332,0.065569319,0.000356286,0.000258689,0.001040224,0.001060793,0.00205416,0.001568678,0.000563355,0.000434583,0.000199083,0.000226242,0.001689128,0.052355819,0.00281722,0.002573431,7.52E-05,0.000278721,0.000102747,-9.23E-05,0.003371908,-6.60E-05,-0.000109762,-2.72E-05,-1.23E-05,0.000798112,0.000493317,0.00118956,0.000201204,0.026051547,0.076188714,0.016736766,0.000493179,0.003690573,6.11E-05,0.000679017,0.076554472,0.630853966,1,0.352826707,0.07708676
APC-R700,7.85E-05,-7.13E-05,-7.95E-05,-7.14E-05,-9.75E-05,0.000993997,0.001117941,0.000612147,0.000668887,0.018591381,0.297586151,0.034808495,0.000220105,-1.70E-05,0.000806849,0.000749732,0.001818242,0.001499245,0.000504015,0.000102729,0.001910673,0.097718955,0.035112818,0.02054759,0.003064349,0.00218847,0.000268379,0.000225958,0.001169595,0.039139639,0.00690967,1.81E-05,-8.12E-06,-8.18E-05,-2.67E-06,0.015546791,0.043311524,0.181625547,0.226128668,0.317000298,0.046368516,0.010642457,0.000459683,0.051719997,0.414980702,1,0.648362655,0.325441275,0.000416207,0.00032354,0.00017164
APC-Fire 750,0.002427723,-0.008770448,-0.007248469,-0.011854225,-0.01967556,-0.022213246,-0.012827976,-0.006389639,-0.005051394,-0.002761788,0.001244474,0.096821016,-0.006183443,-0.004807629,-0.001638956,-4.39E-06,-0.006804079,-0.005694602,-0.001353182,-0.00073878,0.000541649,1.77E-06,0.007274794,0.083500355,0.000379428,0.000439935,0.000736949,0.000583536,0.000387248,1.81E-05,0.001689727,0.000123236,0.000601041,0.000808242,0.001238927,0.005765709,0.001271848,0.001104318,0.000845035,0.062495928,0.107019214,0.023255097,0.00088025,0.015551459,0.001573944,0.00361857,0.146928272,0.774504992,1,0.328869446,0.057362145
APC-Fire 810,-0.001112413,-0.001535367,-0.000712184,-0.00204049,-0.005183983,-0.006658299,-0.004218047,-0.002383415,-0.001603472,0.013752192,0.005270093,0.089787495,-0.000754459,-0.000159749,0.000574965,0.000284715,-0.000680329,-0.000991472,-0.000661662,-0.000150617,0.005858157,0.001867393,0.000983118,0.084840813,0.00031207,0.000179292,0.00018541,0.000125726,0.000316919,6.61E-05,0.001538521,0.000166825,0.000330461,0.001135407,0.001706731,0.032676365,0.008050548,0.007142878,0.004325355,0.011287995,0.107071795,0.041127456,0.001136738,0.090403945,0.021695832,0.025674186,0.028462439,0.72637937,1,0.484095682,0.078434731
BB515,0.000166346,0.000148277,0.000122269,9.21E-05,0.000350676,0.030032439,0.017183432,0.006159659,0.002091701,0.000369376,-3.71E-05,-3.49E-05,7.16E-05,1.27E-07,0.000141523,9.07E-05,0.00655365,0.00338473,0.000974348,0.000224898,4.58E-05,-4.20E-05,8.91E-06,1.20E-05,1,0.360493955,0.059433699,0.03098249,0.00595553,0.000791564,0.000153179,-9.41E-06,-3.87E-05,-2.99E-05,3.20E-05,-6.01E-06,5.04E-05,-3.34E-05,1.55E-05,1.88E-05,-4.26E-05,1.27E-05,2.75E-05,-7.70E-06,-1.12E-05,1.99E-05,-1.55E-05,0.00010492,1.73E-05,1.94E-05,-6.28E-05
BB630,0.001002816,0.000802149,0.000286514,0.000475303,0.000876577,0.001433749,0.007399676,0.014813328,0.283721599,0.128957264,0.040639813,0.004076549,6.57E-05,-4.12E-05,0.000408618,0.00025471,0.002069537,0.011506123,0.026016647,0.388448186,0.128150295,0.051089329,0.015632896,0.007811806,0.014147532,0.031355388,0.106002105,1,0.33197388,0.096076275,0.029048227,0.011323639,0.061573778,0.301059506,0.234415078,0.16034457,0.044766026,0.037641267,0.018236541,0.026857958,0.002451737,0.000593691,6.01E-05,0.000736576,5.77E-05,-2.09E-06,0.000120778,-0.000416757,9.98E-07,-6.34E-06,-2.97E-05
BB660,0.001149641,0.000765014,0.000491952,0.00069354,0.001139143,0.002263164,0.006699119,0.007226899,0.018860731,0.374035566,0.13925261,0.014659278,-3.69E-05,2.47E-05,-0.000267675,0.000259019,0.002254243,0.012417744,0.013332679,0.028285767,0.37954397,0.16135044,0.053454664,0.033667043,0.01682537,0.031582956,0.024294693,0.062841185,1,0.348928744,0.090481775,-7.39E-05,0.000109427,1.11E-06,0.000828368,0.114671175,0.028044187,0.027178488,0.016707635,0.024275293,0.002482817,0.000405451,0.000108782,0.967290281,0.158309408,0.197604963,0.13350768,0.069890594,4.28E-05,0.000121114,0.000181323
BB700,0.001927887,0.001215788,0.000688303,0.000771479,0.000769184,0.00160129,0.008290944,0.007899835,0.012680337,0.196388346,0.394196298,0.063868999,-0.000320336,-9.94E-06,0.000126266,0.000306051,0.002421104,0.014700579,0.016681737,0.020994405,0.100430548,0.602322806,0.172574883,0.145180893,0.020759751,0.039267022,0.029415889,0.048095903,0.50829901,1,0.348118026,0.00011546,8.53E-05,3.67E-05,6.82E-05,0.023631653,0.06115673,0.101615511,0.051590181,0.082605733,0.00991506,0.002816428,0.000102341,0.120611073,0.388523486,0.360019232,0.276477716,0.169569797,0.000243714,-5.39E-05,-0.000311536
